Int,Double,String
54,75.77411305018462,46bada3b-303f-4186-b970-50ee9e7effff
32,31.04340124003989,d0f19087-e56c-44db-a88d-2ab4a3aead89
37,23.212394746024966,7e8805b2-6e2a-4d85-83c8-4372dc42dca4
22,18.087418986400916,d4045a5f-6e1a-4366-b332-b187e345f715
57,98.54454486040996,52bf1e2d-7eea-4df8-b34e-b185e9f8891f
24,81.10368875077998,97e1e3f9-b5b6-4728-8766-95b83c60f648
28,49.73542555537611,5c4e68e0-8435-4bc2-b51e-c95d5bc404b9
9,48.455394724045476,037ed7fd-ccde-4a79-8ecc-031d70acb297
90,31.94952480183645,5549a927-5e0f-435f-a3c7-c8c58ed7bb31
88,59.97314210923722,bfcdd986-28b4-4e64-8ee8-b57e1402d8d8
